conversation_id,turn_no,speaker,utterance,strategy
118,1,0,What meals are included in the Cultural Heritage Tour package? What is included in the Culinary Tour package?,3
118,1,1,The Culinary Tour package includes three meals per day.,2
118,2,0,Can you provide me with the price of the tour package?,2
118,2,1,"The package will cost you $12,500?",2
118,3,0,"I appreciate your offer of $12,500, but my budget is $9,162.31. Is there any possibility we can work within that range?",2
118,3,1,"I understand your budget constraints, but unfortunately, I cannot go as low as $9,162.31. However, I can offer you a discounted price of $12,041.31 which is the best I can do.",2
118,4,0,"I appreciate the discounted price offer of $12,041.31, but I am afraid that it exceeds my budget. I can only go up to $9,415.86 for this package. Is there any possibility of reaching a compromise closer to my budget?",2
118,4,1,"I understand your concern about the budget. However, this package offers a wide range of experiences and culinary delights that you won't find anywhere else. I can certainly try to work on a compromise for you. Let me see what options I can explore to bring the cost closer to your budget. I will get back to you soon with a revised proposal.",4
118,5,0,"I don't require any food pairing during the tour, so please remove that amenity from the package.",4
118,5,1,"I understand that you don't require any food pairing during the tour. As an alternative, I can offer you a Farm-to-table Experience which will lower down the price of the tour to $12041.31.",7
118,6,0,"Yes, I would like to add the Farm-to-table Experience.",7
118,6,1,"Thanks for your consent, we are adding the Farm-to-table Experience as a service.",7
118,7,0,"Thank you for including the Farm-to-table Experience in the package. However, I would like to discuss the budget. I have proposed a budget of $9415.855168768629 and I am hoping that we can work within that range.",1
118,7,1,"Thank you for your feedback. I understand your budget concerns, but I'm afraid we cannot meet your proposed budget of $9415.855168768629. However, I can offer you a discounted rate of $12021.312728868103 for the package.",7
118,8,0,"I appreciate your understanding of my budget concerns. However, I cannot exceed my proposed budget of $9648.143064005139 for the tour package. Is there any possibility of reaching a compromise closer to my budget?",1
118,8,1,"I understand your budget concerns and I appreciate your willingness to compromise. However, considering the services and amenities provided in this package, it would be difficult to lower the cost to your proposed budget. However, I can offer you a discounted rate of $10,500 for the tour package, which is still closer to your budget.",4
118,9,0,"Yes, I understand and appreciate the discounted rate. I would like to proceed with the tour package at $10,500.",4
118,9,1,"Thank you for your consent. We will proceed with the tour package at the discounted rate of $10,500.",7
118,10,0,"I'm really happy with the package and the proposed price, so let's go ahead and finalize the deal. Thanks!",4
118,10,1,I'm happy to inform you that the tour package deal has been accepted. Thank you for choosing our services!,4
945,1,0,What is NA in Wellness Retreat? ,2
945,1,1,A means not applicable' ,7
945,2,0,I am getting bored because there is no Spa access in my tour package ,7
945,2,1,"It's fine if you want to remove the service Spa access, but as an option to this I would recommend Nature walks as a service which make this tour cost only $15000 ",7
945,3,0,"no, I am okay with Nature trips. ",2
945,3,1,"Thanks for your consent, we are removing Nature trip as a tour ",2
945,4,0,"I want to add Healing Therapies, since I am mentally stressed out ",4
945,4,1,"You should definity add the amenity Healing Therapies, the final tour cost is 15,900 ",4
945,5,0,I cannot go above $12500 ,3
945,5,1, I can provide you the package of same amenities at $12000 so you have to go with it ,3
945,6,0,But I cannot go beyond $12500 It's enough for me ,1
945,6,1,"You are not getting something that you are looking for, we have another package it worth of $12500,if you will be interested in then please reply ASAP. ",7
945,7,0,NO thanks not interest in that package. ,3
945,7,1,You are not interested in this package ,3
945,8,0,"Sir We are not happy with the price you have proposed, we feel you are taking advantage of our position, So kindly rethink on this price and come with a reasonable price or else we will have to get out of this deal.<|endoftext|>#!/usr/bin/env python3 ",7
945,8,1,"We are highly obliged that you have visited our shop for tour package with us, please reconsider your budget because everything which we are providing is worth of the amount you are bidding. ",7
945,9,0,I cannot go beyond $12700 ,7
945,9,1,"You will definitely regret on that,this package include everything that can provide you healthful experience you can live care free to get a better life style,if you increase your budget we will provide you a package with $17000 prize ",1
945,10,0,I cannot go beyond $12700. ,7
945,10,1,"Sorry Sir, we cannot provide you this package in such lower cost ",7
702,1,0,"Hello. I want to buy this package Beach Resort. how is this package?, and what is the price please tell me ",7
702,1,1,This package is offering wide range of amenities which is making you to forget the world and get immersed in your own self. It will make you feel comfortable when you are in the resort. The price of the package is $70000 ,4
702,2,0,"I am in the budget of $16800, can you reduce the price a bit more ",7
702,2,1,"I am sorry sir, am not able to reduce the price to $16800 ",7
702,3,0,"I am very sorry to say this but I cannot increase my budget for this, it is really difficult for me to pay anything above $16800 ",3
702,3,1,"You know my problem sir am sorry, we may have a little concession for you ",3
702,4,0,I would like to hear that ,2
702,4,1,"I mentioned about the package what you can expect to get, the amenities are same as you requested ",7
702,5,0,I want to go for Scuba Diving. Please add that in the package ,5
702,5,1,"Scuba Diving is a great addition, the tour cost will be $21400 ",5
702,6,0,"I do not want to hold this package in the Beachfront, please remove the amenity Beachfront ",5
702,6,1,"Thank you sir, but it is not possible sir. ",4
446,1,0,"Hi, I'm really interested in the Cultural Heritage Tour. Can you please provide me with more information about the package and its price?",7
446,1,1,"'Sure, the Cultural Heritage Tour offers a unique experience to immerse yourself in the rich cultural heritage of various destinations. You will have the opportunity to explore historical sites, enjoy traditional performances, indulge in local cuisine experiences, and participate in art and craft workshops. The package also includes amenities such as language interpreter services, traditional costume rental, audio guides and headsets, expert lectures, and souvenir shopping. All of this can be yours for a price of $21500.",7
446,2,0,"I am interested in art and crafts, so please add art and craft workshops to the package.",2
446,2,1,"Absolutely, adding the art and craft workshops to the package is a great choice. The final cost of the tour package would be $26500.",4
446,3,0,"I appreciate the offer, but I can only afford up to $18372.308465519956 for this package. Can we work within this budget?",1
446,3,1,"I understand your budget constraints, but considering the extensive services and amenities included in this package, it will be difficult for us to accommodate all of them within your proposed budget. However, I can try to make some adjustments and see if we can work within your budget. Let me check the options and get back to you with a revised proposal.",7
446,4,0,"No, I would prefer to stick to my proposed budget.",7
446,4,1,Thanks for your response. We will proceed with your proposed budget and make sure to provide you with the best options within that range.,7
446,5,0,What is included for accommodation in the Cultural Heritage Tour package?,3
446,5,1,"The accommodation included in the Cultural Heritage Tour package is of high quality and offers a comfortable stay. You will have a variety of options to choose from, ranging from luxurious hotels to cozy guesthouses, all located in close proximity to the cultural sites and attractions. Additionally, the package also includes traditional performances, local cuisine experiences, language interpreter services, art and craft workshops, audio guides and headsets, expert lectures, and souvenir shopping.",3
446,6,0,What are the meal options available in Cultural Heritage Tour?,5
446,6,1,The Cultural Heritage Tour offers a variety of meal options including local cuisine experience. You will have the opportunity to taste traditional dishes and experience the local flavors during your tour.,4
446,7,0,"That's great to hear! I'm really interested in trying out the local cuisine. However, I must stick to my proposed budget of $18372.308465519956. Is there any way we can work within that range?",4
446,7,1,"I understand your budget constraints, but unfortunately, I cannot go down to $18372.308465519956. However, I can offer you a discounted package at $20711.05789365314.",4
446,8,0,"Thank you for understanding my budget constraints. While I appreciate the discounted package offer at $20711.05789365314, I am still unable to go above my proposed budget of $18372.308465519956. Is there any other way we can adjust the package to make it work within my budget?",1
446,8,1,I'm glad we could come to an agreement. Thank you for choosing our tour package.,7
856,1,0,"Hey!, I want to buy this package, what will be the cost of Adventure Trekking Expedition ",7
856,1,1,You're not wrong and you're not doing something wrong.   ,7
856,2,0,"Sorry sir, it's too high and not up to my budget. I can only go upto $26700 ",2
856,2,1, You should choose the amenity camera because it will make the cost of tour package $58000. ,2
856,3,0,"No Thanks, I Have My Own Camera ",7
856,3,1,"Thanks for your consent, we are removing Camera rental as a service ",7
856,4,0,Can you please provide more concession for the same package ,3
856,4,1,"It was fun dealing with you, Hope to see you on next call ",3
715,1,0,"Hi!, I want to buy this package, what will be the cost of Historical Architecture Tour. ",1
715,1,1,"Sir! The package is very budget oriented and it is offering you several amenities like Historical Reenactment Interactive Exhibits Virtual Reality experiences Historical guidebook Audio tour Architectural photography, ",7
715,2,0,I want to know the cost of the package ,2
715,2,1,The packaqge will cost you $24800? ,2
715,3,0,"$21800 is my best budget I can afford, I can only say you that I have $20800 in my pocket ",3
715,3,1,"Sir, I would like to recommend the amenity Virtual Reality experiences by which the cost of tour package is $24800, would you like to? ",1
715,4,0,"No, its not required for me. ",1
715,4,1,"Thanks for your consent, we are removing the amenity Binoculars rental ",7
715,5,0,"Okay, lets do this ",3
715,5,1,"Thank you for your time in negotiation, let's close the deal ",2
390,1,0,Hi there! I'm really interested in the Festive Splendor: A Celebration Tour package. Could you please provide me with some details about the package and its pricing?,4
